created_utc,2019-ncov,2019ncov,corona,coronavirus,covid,covid-19,covid19,mers,outbreak,pandemic,rona,sars,sars-cov-2,sars2,sarscov19,virus,wuflu,wuhan
2019-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0584082598180596e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.591170907321559e-05,0.0,0.0
2019-12-26,0.0,0.0,2.3798191337458357e-06,0.0,0.0,0.0,0.0,0.0,4.931926712548239e-06,9.346750623607136e-06,0.0,0.0,0.0,0.0,0.0,1.9291290010011068e-05,0.0,0.0
2019-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.314625850340136e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.311453818451044e-06,0.0,0.0
2019-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2804998032270762e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.4619786571551799e-05,0.0,0.0
2019-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3444295227842567e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.1558187632953801e-05,0.0,0.0
2019-12-30,0.0,0.0,1.0507126458520489e-07,0.0,0.0,0.0,0.0,0.0,3.6549707602339173e-07,7.8064012490242e-06,0.0,0.0,0.0,0.0,0.0,7.720936007859433e-06,0.0,0.0
2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2205669439336404e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.0346438512359524e-05,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.961042702762002e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.8883697985208834e-05,0.0,0.0
2020-01-02,0.0,0.0,2.600509699901181e-07,1.5209125475285173e-07,0.0,0.0,0.0,0.0,9.781076921715764e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0314658671382094e-05,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.679237996601438e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.289998871732681e-05,0.0,0.0
2020-01-04,0.0,0.0,1.0749220681500592e-06,0.0,0.0,0.0,0.0,0.0,1.2319424084129964e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.7317744636031973e-05,0.0,0.0
