,user_count
2017-01-01,82
2017-01-02,89
2017-01-03,69
2017-01-04,73
2017-01-05,89
2017-01-06,65
2017-01-07,65
2017-01-08,77
2017-01-09,86
2017-01-10,82
2017-01-11,88
2017-01-12,72
2017-01-13,77
2017-01-14,69
2017-01-15,70
2017-01-16,84
2017-01-17,98
2017-01-18,84
2017-01-19,65
2017-01-20,78
2017-01-21,61
2017-01-22,62
2017-01-23,81
2017-01-24,87
2017-01-25,88
2017-01-26,75
2017-01-27,80
2017-01-28,63
2017-01-29,65
2017-01-30,84
2017-01-31,84
2017-02-01,86
2017-02-02,78
2017-02-03,86
2017-02-04,74
2017-02-05,81
2017-02-06,88
2017-02-07,79
2017-02-08,111
2017-02-09,65
2017-02-10,72
2017-02-11,61
2017-02-12,81
2017-02-13,89
2017-02-14,81
2017-02-15,83
2017-02-16,92
2017-02-17,69
2017-02-18,67
2017-02-19,72
2017-02-20,78
2017-02-21,94
2017-02-22,97
2017-02-23,86
2017-02-24,67
2017-02-25,71
2017-02-26,70
2017-02-27,91
2017-02-28,81
2017-03-01,86
2017-03-02,74
2017-03-03,77
2017-03-04,66
2017-03-05,67
2017-03-06,80
2017-03-07,70
2017-03-08,81
2017-03-09,89
2017-03-10,74
2017-03-11,74
2017-03-12,66
2017-03-13,76
2017-03-14,85
2017-03-15,86
2017-03-16,83
2017-03-17,83
2017-03-18,74
2017-03-19,61
2017-03-20,102
2017-03-21,95
2017-03-22,99
2017-03-23,83
2017-03-24,86
2017-03-25,64
2017-03-26,63
2017-03-27,105
2017-03-28,107
2017-03-29,89
2017-03-30,77
2017-03-31,76
2017-04-01,68
2017-04-02,71
2017-04-03,92
2017-04-04,99
2017-04-05,100
2017-04-06,81
2017-04-07,96
2017-04-08,57
2017-04-09,67
2017-04-10,94
2017-04-11,86
2017-04-12,101
2017-04-13,81
2017-04-14,88
2017-04-15,68
2017-04-16,63
2017-04-17,91
2017-04-18,78
2017-04-19,85
2017-04-20,95
2017-04-21,89
2017-04-22,80
2017-04-23,87
2017-04-24,120
2017-04-25,95
2017-04-26,78
2017-04-27,100
2017-04-28,71
2017-04-29,74
2017-04-30,76
2017-05-01,98
2017-05-02,101
2017-05-03,91
2017-05-04,77
2017-05-05,75
2017-05-06,69
2017-05-07,73
2017-05-08,87
2017-05-09,85
2017-05-10,73
2017-05-11,66
2017-05-12,84
2017-05-13,71
2017-05-14,58
2017-05-15,80
2017-05-16,70
2017-05-17,77
2017-05-18,70
2017-05-19,78
2017-05-20,67
2017-05-21,59
2017-05-22,92
2017-05-23,71
2017-05-24,90
2017-05-25,92
2017-05-26,75
2017-05-27,64
2017-05-28,68
2017-05-29,78
2017-05-30,95
2017-05-31,94
2017-06-01,81
2017-06-02,67
2017-06-03,72
2017-06-04,63
2017-06-05,88
2017-06-06,84
2017-06-07,76
2017-06-08,76
2017-06-09,80
2017-06-10,57
2017-06-11,63
2017-06-12,82
2017-06-13,85
2017-06-14,71
2017-06-15,80
2017-06-16,54
2017-06-17,64
2017-06-18,64
2017-06-19,79
2017-06-20,95
2017-06-21,74
2017-06-22,72
2017-06-23,81
2017-06-24,64
2017-06-25,67
2017-06-26,94
2017-06-27,80
2017-06-28,105
2017-06-29,113
2017-06-30,78
2017-07-01,64
2017-07-02,97
2017-07-03,78
2017-07-04,63
2017-07-05,91
2017-07-06,80
2017-07-07,94
2017-07-08,84
2017-07-09,80
2017-07-10,83
2017-07-11,105
2017-07-12,92
2017-07-13,70
2017-07-14,85
2017-07-15,71
2017-07-16,86
2017-07-17,95
2017-07-18,83
2017-07-19,100
2017-07-20,78
2017-07-21,76
2017-07-22,75
2017-07-23,78
2017-07-24,102
2017-07-25,100
2017-07-26,90
2017-07-27,102
2017-07-28,104
2017-07-29,84
2017-07-30,83
2017-07-31,93
2017-08-01,98
2017-08-02,102
2017-08-03,85
2017-08-04,81
2017-08-05,80
2017-08-06,75
2017-08-07,87
2017-08-08,115
2017-08-09,96
2017-08-10,108
2017-08-11,100
2017-08-12,89
2017-08-13,84
2017-08-14,140
2017-08-15,113
2017-08-16,90
2017-08-17,116
2017-08-18,105
2017-08-19,80
2017-08-20,85
2017-08-21,87
2017-08-22,116
2017-08-23,113
2017-08-24,110
2017-08-25,96
2017-08-26,104
2017-08-27,88
2017-08-28,139
2017-08-29,131
2017-08-30,109
2017-08-31,116
2017-09-01,98
2017-09-02,87
2017-09-03,102
2017-09-04,105
2017-09-05,138
2017-09-06,138
2017-09-07,125
2017-09-08,122
2017-09-09,90
2017-09-10,99
2017-09-11,112
2017-09-12,117
2017-09-13,127
2017-09-14,110
2017-09-15,115
2017-09-16,89
2017-09-17,91
2017-09-18,128
2017-09-19,121
2017-09-20,105
2017-09-21,128
2017-09-22,100
2017-09-23,82
2017-09-24,92
2017-09-25,117
2017-09-26,126
2017-09-27,120
2017-09-28,117
2017-09-29,118
2017-09-30,89
2017-10-01,81
2017-10-02,104
2017-10-03,115
2017-10-04,112
2017-10-05,108
2017-10-06,81
2017-10-07,91
2017-10-08,100
2017-10-09,114
2017-10-10,122
2017-10-11,113
2017-10-12,108
2017-10-13,122
2017-10-14,90
2017-10-15,96
2017-10-16,120
2017-10-17,126
2017-10-18,112
2017-10-19,100
2017-10-20,109
2017-10-21,84
2017-10-22,125
2017-10-23,107
2017-10-24,129
2017-10-25,129
2017-10-26,106
2017-10-27,101
2017-10-28,87
2017-10-29,107
2017-10-30,102
2017-10-31,109
2017-11-01,115
2017-11-02,105
2017-11-03,106
2017-11-04,85
2017-11-05,99
2017-11-06,126
2017-11-07,127
2017-11-08,106
2017-11-09,115
2017-11-10,109
2017-11-11,76
2017-11-12,98
2017-11-13,102
2017-11-14,125
2017-11-15,121
2017-11-16,103
2017-11-17,99
2017-11-18,108
2017-11-19,103
2017-11-20,145
2017-11-21,101
2017-11-22,103
2017-11-23,92
2017-11-24,94
2017-11-25,92
2017-11-26,97
2017-11-27,108
2017-11-28,143
2017-11-29,142
2017-11-30,143
2017-12-01,108
2017-12-02,93
2017-12-03,106
2017-12-04,139
2017-12-05,120
2017-12-06,117
2017-12-07,118
2017-12-08,99
2017-12-09,94
2017-12-10,102
2017-12-11,138
2017-12-12,122
2017-12-13,130
2017-12-14,107
2017-12-15,96
2017-12-16,82
2017-12-17,95
2017-12-18,112
2017-12-19,100
2017-12-20,97
2017-12-21,122
2017-12-22,91
2017-12-23,97
2017-12-24,74
2017-12-25,74
2017-12-26,102
2017-12-27,93
2017-12-28,139
2017-12-29,123
2017-12-30,129
2017-12-31,103
2018-01-01,107
2018-01-02,138
2018-01-03,134
2018-01-04,129
2018-01-05,108
2018-01-06,91
2018-01-07,122
2018-01-08,148
2018-01-09,130
2018-01-10,164
2018-01-11,144
2018-01-12,134
2018-01-13,108
2018-01-14,100
2018-01-15,120
2018-01-16,163
2018-01-17,152
2018-01-18,130
2018-01-19,148
2018-01-20,107
2018-01-21,106
2018-01-22,150
2018-01-23,140
2018-01-24,145
2018-01-25,131
2018-01-26,119
2018-01-27,123
2018-01-28,117
2018-01-29,142
2018-01-30,133
2018-01-31,143
2018-02-01,142
2018-02-02,136
2018-02-03,120
2018-02-04,126
2018-02-05,137
2018-02-06,143
2018-02-07,165
2018-02-08,136
2018-02-09,125
2018-02-10,107
2018-02-11,116
2018-02-12,127
2018-02-13,131
2018-02-14,135
2018-02-15,144
2018-02-16,126
2018-02-17,109
2018-02-18,114
2018-02-19,130
2018-02-20,154
2018-02-21,170
2018-02-22,122
2018-02-23,122
2018-02-24,100
2018-02-25,123
2018-02-26,138
2018-02-27,151
2018-02-28,140
2018-03-01,157
2018-03-02,124
2018-03-03,105
2018-03-04,120
2018-03-05,128
2018-03-06,143
2018-03-07,122
2018-03-08,140
2018-03-09,129
2018-03-10,119
2018-03-11,119
2018-03-12,148
2018-03-13,128
2018-03-14,134
2018-03-15,127
2018-03-16,119
2018-03-17,98
2018-03-18,132
2018-03-19,149
2018-03-20,118
2018-03-21,152
2018-03-22,154
2018-03-23,126
2018-03-24,110
2018-03-25,119
2018-03-26,153
2018-03-27,144
2018-03-28,132
2018-03-29,128
2018-03-30,105
2018-03-31,112
2018-04-01,99
2018-04-02,126
2018-04-03,148
2018-04-04,123
2018-04-05,165
2018-04-06,127
2018-04-07,127
2018-04-08,158
2018-04-09,181
2018-04-10,179
2018-04-11,149
2018-04-12,159
2018-04-13,151
2018-04-14,123
2018-04-15,141
2018-04-16,144
2018-04-17,158
2018-04-18,156
2018-04-19,140
2018-04-20,169
2018-04-21,128
2018-04-22,159
2018-04-23,171
2018-04-24,162
2018-04-25,163
2018-04-26,145
2018-04-27,131
2018-04-28,133
2018-04-29,144
2018-04-30,176
2018-05-01,156
2018-05-02,171
2018-05-03,144
2018-05-04,146
2018-05-05,134
2018-05-06,127
2018-05-07,161
2018-05-08,178
2018-05-09,165
2018-05-10,140
2018-05-11,125
2018-05-12,120
2018-05-13,158
2018-05-14,175
2018-05-15,165
2018-05-16,158
2018-05-17,147
2018-05-18,132
2018-05-19,113
2018-05-20,117
2018-05-21,148
2018-05-22,184
2018-05-23,165
2018-05-24,163
2018-05-25,123
2018-05-26,131
2018-05-27,127
2018-05-28,145
2018-05-29,130
2018-05-30,172
2018-05-31,131
2018-06-01,123
2018-06-02,117
2018-06-03,130
2018-06-04,178
2018-06-05,160
