,user_count
2017-01-01,306
2017-01-02,227
2017-01-03,225
2017-01-04,243
2017-01-05,214
2017-01-06,213
2017-01-07,204
2017-01-08,248
2017-01-09,255
2017-01-10,227
2017-01-11,201
2017-01-12,203
2017-01-13,217
2017-01-14,198
2017-01-15,185
2017-01-16,218
2017-01-17,252
2017-01-18,196
2017-01-19,226
2017-01-20,189
2017-01-21,179
2017-01-22,217
2017-01-23,242
2017-01-24,236
2017-01-25,223
2017-01-26,237
2017-01-27,233
2017-01-28,185
2017-01-29,242
2017-01-30,238
2017-01-31,268
2017-02-01,256
2017-02-02,243
2017-02-03,235
2017-02-04,203
2017-02-05,211
2017-02-06,222
2017-02-07,240
2017-02-08,232
2017-02-09,228
2017-02-10,229
2017-02-11,205
2017-02-12,238
2017-02-13,284
2017-02-14,241
2017-02-15,258
2017-02-16,214
2017-02-17,190
2017-02-18,194
2017-02-19,195
2017-02-20,239
2017-02-21,251
2017-02-22,235
2017-02-23,228
2017-02-24,215
2017-02-25,223
2017-02-26,224
2017-02-27,265
2017-02-28,255
2017-03-01,239
2017-03-02,213
2017-03-03,203
2017-03-04,180
2017-03-05,223
2017-03-06,237
2017-03-07,239
2017-03-08,230
2017-03-09,214
2017-03-10,210
2017-03-11,184
2017-03-12,199
2017-03-13,251
2017-03-14,232
2017-03-15,235
2017-03-16,197
2017-03-17,201
2017-03-18,177
2017-03-19,213
2017-03-20,246
2017-03-21,225
2017-03-22,235
2017-03-23,218
2017-03-24,200
2017-03-25,175
2017-03-26,216
2017-03-27,264
2017-03-28,244
2017-03-29,213
2017-03-30,220
2017-03-31,195
2017-04-01,190
2017-04-02,195
2017-04-03,248
2017-04-04,231
2017-04-05,211
2017-04-06,242
2017-04-07,206
2017-04-08,190
2017-04-09,214
2017-04-10,262
2017-04-11,239
2017-04-12,252
2017-04-13,198
2017-04-14,205
2017-04-15,204
2017-04-16,189
2017-04-17,261
2017-04-18,249
2017-04-19,214
2017-04-20,219
2017-04-21,225
2017-04-22,220
2017-04-23,261
2017-04-24,294
2017-04-25,273
2017-04-26,243
2017-04-27,250
2017-04-28,203
2017-04-29,195
2017-04-30,214
2017-05-01,265
2017-05-02,304
2017-05-03,244
2017-05-04,235
2017-05-05,204
2017-05-06,187
2017-05-07,235
2017-05-08,237
2017-05-09,240
2017-05-10,217
2017-05-11,212
2017-05-12,214
2017-05-13,194
2017-05-14,198
2017-05-15,239
2017-05-16,203
2017-05-17,212
2017-05-18,236
2017-05-19,224
2017-05-20,199
2017-05-21,228
2017-05-22,223
2017-05-23,255
2017-05-24,227
2017-05-25,217
2017-05-26,215
2017-05-27,224
2017-05-28,212
2017-05-29,239
2017-05-30,222
2017-05-31,242
2017-06-01,220
2017-06-02,181
2017-06-03,194
2017-06-04,204
2017-06-05,204
2017-06-06,170
2017-06-07,221
2017-06-08,202
2017-06-09,208
2017-06-10,188
2017-06-11,188
2017-06-12,209
2017-06-13,217
2017-06-14,220
2017-06-15,192
2017-06-16,190
2017-06-17,200
2017-06-18,195
2017-06-19,235
2017-06-20,207
2017-06-21,244
2017-06-22,218
2017-06-23,194
2017-06-24,175
2017-06-25,206
2017-06-26,209
2017-06-27,215
2017-06-28,227
2017-06-29,231
2017-06-30,204
2017-07-01,185
2017-07-02,182
2017-07-03,222
2017-07-04,244
2017-07-05,239
2017-07-06,230
2017-07-07,224
2017-07-08,202
2017-07-09,215
2017-07-10,224
2017-07-11,254
2017-07-12,218
2017-07-13,226
2017-07-14,218
2017-07-15,209
2017-07-16,208
2017-07-17,233
2017-07-18,221
2017-07-19,225
2017-07-20,215
2017-07-21,231
2017-07-22,254
2017-07-23,237
2017-07-24,255
2017-07-25,252
2017-07-26,273
2017-07-27,300
2017-07-28,250
2017-07-29,223
2017-07-30,227
2017-07-31,270
2017-08-01,254
2017-08-02,297
2017-08-03,259
2017-08-04,252
2017-08-05,247
2017-08-06,223
2017-08-07,327
2017-08-08,315
2017-08-09,273
2017-08-10,268
2017-08-11,257
2017-08-12,256
2017-08-13,294
2017-08-14,300
2017-08-15,289
2017-08-16,304
2017-08-17,307
2017-08-18,308
2017-08-19,287
2017-08-20,292
2017-08-21,327
2017-08-22,372
2017-08-23,323
2017-08-24,322
2017-08-25,296
2017-08-26,312
2017-08-27,290
2017-08-28,306
2017-08-29,329
2017-08-30,317
2017-08-31,311
2017-09-01,272
2017-09-02,290
2017-09-03,321
2017-09-04,336
2017-09-05,328
2017-09-06,347
2017-09-07,346
2017-09-08,275
2017-09-09,284
2017-09-10,323
2017-09-11,377
2017-09-12,318
2017-09-13,328
2017-09-14,337
2017-09-15,265
2017-09-16,290
2017-09-17,347
2017-09-18,371
2017-09-19,360
2017-09-20,338
2017-09-21,353
2017-09-22,321
2017-09-23,327
2017-09-24,312
2017-09-25,340
2017-09-26,344
2017-09-27,319
2017-09-28,288
2017-09-29,257
2017-09-30,290
2017-10-01,321
2017-10-02,323
2017-10-03,321
2017-10-04,329
2017-10-05,334
2017-10-06,299
2017-10-07,320
2017-10-08,340
2017-10-09,370
2017-10-10,353
2017-10-11,361
2017-10-12,317
2017-10-13,307
2017-10-14,293
2017-10-15,317
2017-10-16,382
2017-10-17,390
2017-10-18,332
2017-10-19,338
2017-10-20,361
2017-10-21,309
2017-10-22,346
2017-10-23,402
2017-10-24,364
2017-10-25,408
2017-10-26,356
2017-10-27,325
2017-10-28,309
2017-10-29,321
2017-10-30,408
2017-10-31,345
2017-11-01,416
2017-11-02,390
2017-11-03,298
2017-11-04,291
2017-11-05,353
2017-11-06,389
2017-11-07,367
2017-11-08,365
2017-11-09,375
2017-11-10,313
2017-11-11,275
2017-11-12,361
2017-11-13,394
2017-11-14,385
2017-11-15,348
2017-11-16,307
2017-11-17,338
2017-11-18,321
2017-11-19,372
2017-11-20,410
2017-11-21,351
2017-11-22,361
2017-11-23,319
2017-11-24,273
2017-11-25,282
2017-11-26,181
2017-11-27,178
2017-11-28,213
2017-11-29,249
2017-11-30,370
2017-12-01,312
2017-12-02,305
2017-12-03,365
2017-12-04,412
2017-12-05,363
2017-12-06,393
2017-12-07,398
2017-12-08,369
2017-12-09,321
2017-12-10,354
2017-12-11,406
2017-12-12,370
2017-12-13,395
2017-12-14,344
2017-12-15,337
2017-12-16,311
2017-12-17,325
2017-12-18,356
2017-12-19,397
2017-12-20,394
2017-12-21,322
2017-12-22,273
2017-12-23,307
2017-12-24,280
2017-12-25,344
2017-12-26,318
2017-12-27,350
2017-12-28,341
2017-12-29,336
2017-12-30,329
2017-12-31,435
2018-01-01,470
2018-01-02,429
2018-01-03,379
2018-01-04,337
2018-01-05,365
2018-01-06,326
2018-01-07,384
2018-01-08,368
2018-01-09,396
2018-01-10,384
2018-01-11,357
2018-01-12,339
2018-01-13,314
2018-01-14,389
2018-01-15,392
2018-01-16,391
2018-01-17,379
2018-01-18,355
2018-01-19,389
2018-01-20,338
2018-01-21,377
2018-01-22,405
2018-01-23,415
2018-01-24,358
2018-01-25,358
2018-01-26,329
2018-01-27,304
2018-01-28,359
2018-01-29,415
2018-01-30,399
2018-01-31,387
2018-02-01,391
2018-02-02,353
2018-02-03,323
2018-02-04,313
2018-02-05,394
2018-02-06,448
2018-02-07,409
2018-02-08,401
2018-02-09,390
2018-02-10,345
2018-02-11,377
2018-02-12,450
2018-02-13,448
2018-02-14,432
2018-02-15,394
2018-02-16,372
2018-02-17,350
2018-02-18,405
2018-02-19,466
2018-02-20,454
2018-02-21,430
2018-02-22,382
2018-02-23,344
2018-02-24,337
2018-02-25,355
2018-02-26,394
2018-02-27,412
2018-02-28,387
2018-03-01,389
2018-03-02,326
2018-03-03,337
2018-03-04,371
2018-03-05,434
2018-03-06,414
2018-03-07,397
2018-03-08,366
2018-03-09,341
2018-03-10,363
2018-03-11,364
2018-03-12,413
2018-03-13,364
2018-03-14,417
2018-03-15,384
2018-03-16,377
2018-03-17,372
2018-03-18,401
2018-03-19,439
2018-03-20,427
2018-03-21,401
2018-03-22,385
2018-03-23,380
2018-03-24,321
2018-03-25,397
2018-03-26,427
2018-03-27,455
2018-03-28,407
2018-03-29,388
2018-03-30,370
2018-03-31,344
2018-04-01,375
2018-04-02,469
2018-04-03,446
2018-04-04,424
2018-04-05,447
2018-04-06,399
2018-04-07,407
2018-04-08,431
2018-04-09,506
2018-04-10,476
2018-04-11,466
2018-04-12,420
2018-04-13,401
2018-04-14,385
2018-04-15,389
2018-04-16,471
2018-04-17,465
2018-04-18,464
2018-04-19,429
2018-04-20,394
2018-04-21,402
2018-04-22,463
2018-04-23,476
2018-04-24,433
2018-04-25,424
2018-04-26,444
2018-04-27,376
2018-04-28,370
2018-04-29,413
2018-04-30,479
2018-05-01,517
2018-05-02,410
2018-05-03,424
2018-05-04,412
2018-05-05,382
2018-05-06,376
2018-05-07,416
2018-05-08,461
2018-05-09,398
2018-05-10,403
2018-05-11,389
2018-05-12,381
2018-05-13,430
2018-05-14,506
2018-05-15,439
2018-05-16,438
2018-05-17,391
2018-05-18,361
2018-05-19,335
2018-05-20,380
2018-05-21,428
2018-05-22,464
2018-05-23,398
2018-05-24,397
2018-05-25,350
2018-05-26,333
2018-05-27,386
2018-05-28,420
2018-05-29,438
2018-05-30,448
2018-05-31,425
2018-06-01,387
2018-06-02,406
2018-06-03,398
2018-06-04,458
2018-06-05,451
2018-06-06,440
2018-06-07,430
2018-06-08,450
2018-06-09,447
2018-06-10,468
2018-06-11,498
2018-06-12,477
2018-06-13,492
2018-06-14,425
2018-06-15,417
2018-06-16,399
2018-06-17,438
2018-06-18,472
2018-06-19,498
2018-06-20,441
2018-06-21,432
2018-06-22,405
2018-06-23,410
2018-06-24,451
2018-06-25,445
2018-06-26,428
2018-06-27,447
2018-06-28,427
2018-06-29,429
2018-06-30,379
2018-07-01,403
2018-07-02,420
2018-07-03,464
2018-07-04,429
2018-07-05,462
2018-07-06,402
2018-07-07,400
2018-07-08,417
2018-07-09,455
2018-07-10,477
2018-07-11,448
2018-07-12,430
2018-07-13,379
2018-07-14,436
2018-07-15,433
2018-07-16,496
2018-07-17,493
2018-07-18,444
2018-07-19,496
2018-07-20,451
2018-07-21,397
2018-07-22,434
2018-07-23,507
2018-07-24,457
2018-07-25,459
2018-07-26,413
2018-07-27,444
2018-07-28,406
2018-07-29,409
