,user_count
2017-01-01,70
2017-01-02,56
2017-01-03,79
2017-01-04,71
2017-01-05,69
2017-01-06,54
2017-01-07,58
2017-01-08,50
2017-01-09,73
2017-01-10,69
2017-01-11,76
2017-01-12,69
2017-01-13,39
2017-01-14,62
2017-01-15,54
2017-01-16,63
2017-01-17,58
2017-01-18,50
2017-01-19,52
2017-01-20,62
2017-01-21,60
2017-01-22,56
2017-01-23,88
2017-01-24,76
2017-01-25,65
2017-01-26,77
2017-01-27,56
2017-01-28,51
2017-01-29,60
2017-01-30,68
2017-01-31,80
2017-02-01,64
2017-02-02,60
2017-02-03,49
2017-02-04,73
2017-02-05,73
2017-02-06,59
2017-02-07,65
2017-02-08,62
2017-02-09,61
2017-02-10,69
2017-02-11,49
2017-02-12,69
2017-02-13,79
2017-02-14,83
2017-02-15,79
2017-02-16,69
2017-02-17,51
2017-02-18,41
2017-02-19,61
2017-02-20,74
2017-02-21,71
2017-02-22,64
2017-02-23,68
2017-02-24,60
2017-02-25,60
2017-02-26,59
2017-02-27,81
2017-02-28,76
2017-03-01,59
2017-03-02,66
2017-03-03,53
2017-03-04,47
2017-03-05,56
2017-03-06,61
2017-03-07,58
2017-03-08,60
2017-03-09,63
2017-03-10,63
2017-03-11,69
2017-03-12,77
2017-03-13,70
2017-03-14,67
2017-03-15,58
2017-03-16,68
2017-03-17,81
2017-03-18,67
2017-03-19,77
2017-03-20,74
2017-03-21,73
2017-03-22,57
2017-03-23,63
2017-03-24,62
2017-03-25,54
2017-03-26,83
2017-03-27,75
2017-03-28,79
2017-03-29,72
2017-03-30,57
2017-03-31,60
2017-04-01,76
2017-04-02,68
2017-04-03,54
2017-04-04,76
2017-04-05,75
2017-04-06,85
2017-04-07,75
2017-04-08,76
2017-04-09,72
2017-04-10,103
2017-04-11,76
2017-04-12,72
2017-04-13,71
2017-04-14,70
2017-04-15,59
2017-04-16,68
2017-04-17,78
2017-04-18,66
2017-04-19,71
2017-04-20,72
2017-04-21,61
2017-04-22,64
2017-04-23,74
2017-04-24,110
2017-04-25,69
2017-04-26,86
2017-04-27,81
2017-04-28,92
2017-04-29,79
2017-04-30,81
2017-05-01,109
2017-05-02,92
2017-05-03,75
2017-05-04,81
2017-05-05,53
2017-05-06,49
2017-05-07,70
2017-05-08,79
2017-05-09,80
2017-05-10,67
2017-05-11,73
2017-05-12,73
2017-05-13,64
2017-05-14,90
2017-05-15,91
2017-05-16,91
2017-05-17,81
2017-05-18,80
2017-05-19,72
2017-05-20,64
2017-05-21,64
2017-05-22,70
2017-05-23,66
2017-05-24,67
2017-05-25,80
2017-05-26,76
2017-05-27,81
2017-05-28,76
2017-05-29,94
2017-05-30,82
2017-05-31,80
2017-06-01,66
2017-06-02,65
2017-06-03,75
2017-06-04,67
2017-06-05,82
2017-06-06,83
2017-06-07,65
2017-06-08,74
2017-06-09,54
2017-06-10,72
2017-06-11,85
2017-06-12,71
2017-06-13,72
2017-06-14,70
2017-06-15,67
2017-06-16,58
2017-06-17,70
2017-06-18,88
2017-06-19,59
2017-06-20,75
2017-06-21,89
2017-06-22,68
2017-06-23,60
2017-06-24,66
2017-06-25,73
2017-06-26,71
2017-06-27,64
2017-06-28,70
2017-06-29,80
2017-06-30,62
2017-07-01,75
2017-07-02,60
2017-07-03,64
2017-07-04,85
2017-07-05,77
2017-07-06,67
2017-07-07,96
